feature,importance,rank
sentiment_negative_ratio_30d,0.05412225,1
ext_us2y_level,0.039217997,2
ma_50_vs_200,0.02783659,3
ext_fedfunds_level,0.02683851,4
ext_vix_level,0.026327962,5
sentiment_positive_ratio_60d,0.026210915,6
news_count_60d,0.024414975,7
ext_yield_curve_10y2y,0.02339281,8
ext_us10y_level,0.023356654,9
macd,0.022208955,10
close_vs_ma_100,0.0211468,11
close_vs_ma_200,0.018048821,12
volatility_60d,0.017569799,13
news_count_log_60d,0.017412873,14
return_10d,0.01675061,15
sentiment_mean_45d,0.01661649,16
month,0.014707598,17
sentiment_positive_ratio_45d,0.014087471,18
volatility_10d,0.01404496,19
sentiment_mean_60d,0.014036172,20
sentiment_available_15d,0.013408181,21
volatility_45d,0.01280246,22
volatility_20d,0.012771726,23
sentiment_mean_30d,0.0127413925,24
news_count_45d,0.012563566,25
news_count_20d,0.0124787595,26
sentiment_negative_ratio_60d,0.012121466,27
return_15d,0.012039465,28
volatility_15d,0.01201657,29
sentiment_negative_ratio_45d,0.011800021,30
sentiment_momentum_20_60,0.011348952,31
macd_signal,0.011063632,32
news_count_log_30d,0.010993687,33
news_count_15d,0.010514389,34
return_30d,0.010337914,35
rsi_14,0.010328574,36
close_vs_ma_20,0.010073489,37
sentiment_negative_ratio_15d,0.009973091,38
macd_diff,0.009662143,39
close_vs_ma_30,0.009577343,40
news_count_30d,0.009552538,41
return_60d,0.0093023395,42
news_count_log_45d,0.009291857,43
volatility_30d,0.009228233,44
sentiment_mean_5d,0.008923938,45
sentiment_positive_ratio_30d,0.008597542,46
sentiment_mean_20d,0.008207841,47
rsi_28,0.008052301,48
close_vs_ma_45,0.007980349,49
ext_us10y_change_1d,0.007854517,50
news_count_log_15d,0.0076344954,51
close_vs_ma_60,0.0075151427,52
sentiment_positive_ratio_20d,0.0074221394,53
sentiment_negative_ratio_5d,0.0073959194,54
close_vs_ma_15,0.0069549703,55
sentiment_mean_10d,0.006715438,56
sentiment_positive_ratio_10d,0.0067071365,57
news_count_log_20d,0.00669193,58
sentiment_positive_ratio_15d,0.0065026036,59
sentiment_momentum_15_45,0.006459436,60
close_vs_ma_10,0.006425865,61
news_count_5d,0.0064191995,62
return_45d,0.0063978448,63
sentiment_negative_ratio_20d,0.006364448,64
ext_nasdaq100_return_1d,0.005907426,65
return_5d,0.0057479762,66
close_vs_ma_50,0.0056931213,67
ma_20_vs_50,0.0056552906,68
sentiment_mean_15d,0.0056207934,69
ext_nasdaq100_return_5d,0.0054577594,70
return_1d,0.0053550806,71
sentiment_negative_ratio_10d,0.005243713,72
ext_vix_change_5d,0.005028945,73
bollinger_position,0.005020292,74
sentiment_momentum_5_20,0.00476542,75
news_count_log_5d,0.004628159,76
ext_eurusd_return_5d,0.004565041,77
range_pct,0.004532305,78
ext_sp500_return_5d,0.0045077153,79
volume_vs_ma20,0.0044192364,80
ext_fedfunds_change_5d,0.004380884,81
return_20d,0.004332412,82
volume_change_1d,0.0042306054,83
ext_sp500_return_1d,0.004043439,84
ext_vix_change_1d,0.0039574173,85
sentiment_momentum_10_30,0.0039122473,86
intraday_return,0.0038755261,87
ext_eurusd_return_1d,0.0035972318,88
gap_return,0.003592032,89
volatility_5d,0.0035610534,90
return_3d,0.0033894023,91
return_2d,0.0031414605,92
news_count_log_10d,0.001777334,93
news_count_10d,0.00029848752,94
close_vs_ma_5,0.00019816411,95
day_of_week,0.0,96
sentiment_available_10d,0.0,97
sentiment_available_1d,0.0,98
sentiment_positive_ratio_5d,0.0,99
sentiment_positive_ratio_1d,0.0,100
sentiment_negative_ratio_1d,0.0,101
news_count_1d,0.0,102
sentiment_mean_1d,0.0,103
ext_us2y_change_1d,0.0,104
news_count_log_1d,0.0,105
sentiment_available_5d,0.0,106
sentiment_available_30d,0.0,107
sentiment_available_20d,0.0,108
sentiment_available_45d,0.0,109
sentiment_available_60d,0.0,110
