feature,importance,rank
news_count_log_20d,0.013506552,1
news_count_log_15d,0.013037458,2
news_count_log_30d,0.011747855,3
close_vs_ma_15,0.011327725,4
ext_yield_curve_10y2y,0.011195075,5
ext_eurusd_return_1d,0.011115877,6
close_vs_ma_30,0.011086588,7
close_vs_ma_100,0.010967246,8
ma_20_vs_50,0.01086969,9
sentiment_negative_ratio_30d,0.010857242,10
return_15d,0.010769495,11
sentiment_available_1d,0.010747421,12
volume_vs_ma20,0.01074181,13
close_vs_ma_20,0.010614117,14
intraday_return,0.010476381,15
ext_sp500_return_1d,0.01045538,16
news_count_log_10d,0.01043249,17
return_60d,0.010428,18
return_20d,0.010365235,19
close_vs_ma_60,0.010330832,20
sentiment_positive_ratio_15d,0.010238895,21
sentiment_negative_ratio_1d,0.010212713,22
sentiment_negative_ratio_60d,0.010174237,23
ext_fedfunds_level,0.010165797,24
close_vs_ma_45,0.010136385,25
sentiment_momentum_5_20,0.010101356,26
sentiment_momentum_10_30,0.010097494,27
rsi_28,0.010050807,28
close_vs_ma_50,0.010041579,29
bollinger_position,0.010035218,30
close_vs_ma_200,0.009992235,31
sentiment_negative_ratio_10d,0.009990002,32
volume_change_1d,0.0099897375,33
ma_50_vs_200,0.009981744,34
ext_us2y_change_1d,0.009971027,35
volatility_45d,0.009946512,36
volatility_20d,0.009941785,37
sentiment_mean_45d,0.009940461,38
news_count_log_5d,0.009921335,39
ext_nasdaq100_return_5d,0.009892938,40
return_3d,0.009866057,41
day_of_week,0.009849198,42
sentiment_positive_ratio_30d,0.009848689,43
return_5d,0.009843978,44
return_2d,0.009817181,45
ext_us10y_level,0.009798706,46
sentiment_positive_ratio_45d,0.009798484,47
close_vs_ma_5,0.009759703,48
news_count_45d,0.009718445,49
return_30d,0.0097137615,50
ext_eurusd_return_5d,0.0097127445,51
sentiment_positive_ratio_10d,0.009699894,52
sentiment_positive_ratio_5d,0.009685563,53
sentiment_momentum_15_45,0.009676448,54
rsi_14,0.009665926,55
sentiment_mean_60d,0.00955519,56
ext_vix_change_1d,0.009548043,57
news_count_60d,0.00951915,58
sentiment_negative_ratio_5d,0.009508452,59
news_count_20d,0.009498043,60
ext_us10y_change_1d,0.009489092,61
sentiment_mean_5d,0.009459039,62
return_45d,0.009454075,63
news_count_15d,0.009452909,64
sentiment_momentum_20_60,0.009428357,65
volatility_60d,0.009415332,66
close_vs_ma_10,0.009385382,67
ext_nasdaq100_return_1d,0.009384341,68
ext_us2y_level,0.009378531,69
month,0.009365138,70
sentiment_mean_20d,0.009357818,71
volatility_15d,0.009325549,72
news_count_log_1d,0.009260959,73
ext_fedfunds_change_5d,0.0092458045,74
news_count_30d,0.0092249485,75
return_1d,0.009221617,76
sentiment_negative_ratio_20d,0.009207587,77
gap_return,0.009189303,78
range_pct,0.009180489,79
ext_vix_change_5d,0.009111024,80
volatility_10d,0.009074108,81
macd_diff,0.0090503795,82
sentiment_mean_1d,0.009049761,83
ext_vix_level,0.009049364,84
sentiment_mean_30d,0.009041096,85
sentiment_negative_ratio_45d,0.009018625,86
sentiment_mean_10d,0.009010702,87
macd,0.008971004,88
macd_signal,0.00888126,89
volatility_5d,0.00880866,90
sentiment_mean_15d,0.00879029,91
news_count_10d,0.008781869,92
sentiment_negative_ratio_15d,0.008770331,93
news_count_1d,0.008703431,94
return_10d,0.008694794,95
sentiment_positive_ratio_1d,0.008393838,96
sentiment_positive_ratio_20d,0.008271769,97
ext_sp500_return_5d,0.008263823,98
news_count_log_45d,0.0082253525,99
sentiment_positive_ratio_60d,0.007832022,100
news_count_5d,0.007772432,101
volatility_30d,0.007654047,102
news_count_log_60d,0.007375391,103
sentiment_available_5d,0.0,104
sentiment_available_10d,0.0,105
sentiment_available_15d,0.0,106
sentiment_available_30d,0.0,107
sentiment_available_20d,0.0,108
sentiment_available_45d,0.0,109
sentiment_available_60d,0.0,110
