feature,mean_abs_shap,importance_pct,rank
ext_fedfunds_level,2.7639325,37.612057,1
ext_us2y_level,0.92769206,12.624189,2
ma_50_vs_200,0.6968892,9.483385,3
ext_vix_level,0.20015736,2.723775,4
volatility_45d,0.19053687,2.5928578,5
volatility_60d,0.15999706,2.1772668,6
range_pct,0.14294006,1.9451523,7
sentiment_mean_60d,0.13056608,1.7767651,8
ext_yield_curve_10y2y,0.12773226,1.738202,9
return_60d,0.11314554,1.5397035,10
close_vs_ma_200,0.10995927,1.4963442,11
sentiment_positive_ratio_60d,0.105034284,1.4293242,12
close_vs_ma_100,0.09839269,1.3389442,13
month,0.08946019,1.2173892,14
news_count_60d,0.085019074,1.1569538,15
macd,0.06544564,0.8905952,16
news_count_20d,0.062799424,0.8545851,17
close_vs_ma_5,0.054946072,0.74771535,18
return_45d,0.052866537,0.7194167,19
ext_us10y_level,0.051319603,0.6983658,20
sentiment_positive_ratio_45d,0.049792804,0.6775888,21
ext_us10y_change_1d,0.04591308,0.62479293,22
volatility_15d,0.04396378,0.5982665,23
volatility_10d,0.041816395,0.56904453,24
sentiment_momentum_5_20,0.040510215,0.5512698,25
sentiment_momentum_20_60,0.038694292,0.5265584,26
ma_20_vs_50,0.037656493,0.5124359,27
volatility_20d,0.03739907,0.5089328,28
sentiment_negative_ratio_20d,0.037214473,0.5064208,29
sentiment_negative_ratio_15d,0.037156668,0.5056342,30
macd_signal,0.032037914,0.43597728,31
news_count_45d,0.030977335,0.42154476,32
return_5d,0.028832665,0.39235973,33
news_count_30d,0.027536348,0.37471923,34
sentiment_negative_ratio_45d,0.02641873,0.3595105,35
sentiment_momentum_15_45,0.0250531,0.3409268,36
sentiment_negative_ratio_60d,0.024782542,0.337245,37
sentiment_mean_30d,0.024426406,0.33239865,38
return_15d,0.02353281,0.3202384,39
ext_eurusd_return_5d,0.02278584,0.31007352,40
sentiment_mean_45d,0.022479022,0.3058983,41
return_2d,0.02215516,0.30149114,42
close_vs_ma_10,0.021306314,0.28993988,43
sentiment_positive_ratio_15d,0.020948203,0.28506666,44
volume_change_1d,0.017911116,0.24373746,45
rsi_28,0.01768221,0.24062249,46
news_count_log_20d,0.016362192,0.22265945,47
ext_us2y_change_1d,0.015926005,0.21672374,48
sentiment_positive_ratio_20d,0.014834141,0.20186546,49
sentiment_positive_ratio_30d,0.014737704,0.20055315,50
news_count_15d,0.014496971,0.19727722,51
close_vs_ma_15,0.014211594,0.19339375,52
ext_eurusd_return_1d,0.013465591,0.18324201,53
volatility_30d,0.013011338,0.17706047,54
sentiment_positive_ratio_10d,0.012797679,0.17415296,55
news_count_log_30d,0.0125785265,0.1711707,56
ext_sp500_return_5d,0.009560894,0.13010626,57
bollinger_position,0.008634871,0.11750477,58
news_count_log_45d,0.008520742,0.11595169,59
sentiment_mean_15d,0.008317321,0.11318349,60
ext_sp500_return_1d,0.007869881,0.10709466,61
volatility_5d,0.0076569337,0.10419683,62
macd_diff,0.0071909428,0.09785555,63
sentiment_mean_20d,0.0071808062,0.09771761,64
sentiment_negative_ratio_30d,0.0070563643,0.096024185,65
rsi_14,0.006843987,0.09313412,66
news_count_log_60d,0.0064951405,0.08838696,67
return_30d,0.0063489834,0.086398035,68
sentiment_negative_ratio_5d,0.0058226353,0.0792354,69
sentiment_mean_10d,0.005723889,0.07789164,70
return_3d,0.005461505,0.074321076,71
return_1d,0.005401099,0.07349906,72
close_vs_ma_20,0.0052842093,0.07190841,73
day_of_week,0.005096454,0.0693534,74
return_20d,0.0048743123,0.066330455,75
ext_nasdaq100_return_1d,0.0047121933,0.064124316,76
close_vs_ma_50,0.004512218,0.061403017,77
close_vs_ma_30,0.0039760172,0.05410631,78
news_count_log_15d,0.003294041,0.044825863,79
sentiment_negative_ratio_10d,0.0028129516,0.038279116,80
news_count_5d,0.0027356492,0.037227172,81
sentiment_momentum_10_30,0.0027168675,0.036971588,82
ext_nasdaq100_return_5d,0.0027080958,0.036852222,83
ext_vix_change_1d,0.0024933447,0.033929855,84
ext_vix_change_5d,0.0024519786,0.033366937,85
sentiment_positive_ratio_5d,0.0023288303,0.031691115,86
sentiment_mean_5d,0.0022772383,0.03098904,87
volume_vs_ma20,0.0021274267,0.028950378,88
gap_return,0.001993444,0.02712712,89
close_vs_ma_60,0.0017712098,0.024102919,90
news_count_log_5d,0.0013023171,0.01772215,91
return_10d,0.0012333732,0.016783949,92
news_count_10d,0.0011434159,0.015559795,93
ext_fedfunds_change_5d,0.0010985215,0.014948865,94
close_vs_ma_45,0.0010216164,0.013902328,95
intraday_return,0.00023924347,0.003255665,96
news_count_log_10d,0.0,0.0,97
sentiment_available_5d,0.0,0.0,98
sentiment_available_1d,0.0,0.0,99
sentiment_positive_ratio_1d,0.0,0.0,100
sentiment_negative_ratio_1d,0.0,0.0,101
news_count_1d,0.0,0.0,102
sentiment_mean_1d,0.0,0.0,103
sentiment_available_10d,0.0,0.0,104
news_count_log_1d,0.0,0.0,105
sentiment_available_15d,0.0,0.0,106
sentiment_available_30d,0.0,0.0,107
sentiment_available_20d,0.0,0.0,108
sentiment_available_45d,0.0,0.0,109
sentiment_available_60d,0.0,0.0,110
