article_id,published_at,date,title,summary,url,source,query_family,query_weight,ticker_relevance,keyword_score,raw_relevance_score,alpha_overall_sentiment,alpha_overall_label,finbert_label,finbert_confidence,finbert_sentiment_score,relevance_score
eb4d1e03f9094840fbd9bf1f,2018-01-01T00:00:00,2018-01-01T00:00:00,Bank of Montreal Enjoys Record U.S. Results,"Bank of Montreal's Chicago-based BMO Harris unit achieved record revenue and profits in the fiscal second quarter, significantly contributing to the bank's overall earnings. This strong performance in the U.S. market suggests that BMO may look for acquisition opportunities to further enhance its organic growth efforts and attract more retail and commercial customers.",https://www.wsj.com/articles/bank-of-montreal-enjoys-record-u-s-results-1527713872?gaa_at=eafs&gaa_n=AWEtsqe_kE-OJLYFWv7zEk9wkugyDdOaG5uBTI73_slsvmpLI4dVG75Jd2w3&gaa_ts=69081626&gaa_sig=353PxWB7JErjtk1F8D6tXKpHKo7JpLuxeQKpnHlGHjzVKC5n6aoY50Ec12Y0SDjLs5j7PCvz5v7FqYtRHvQgXg%3D%3D,The Wall Street Journal,economy_macro,0.78,0.0,0.25,0.401,0.034033,Neutral,positive,0.9519412517547607,0.9519412517547607,0.401
5633122cef7abe0d86196974,2018-01-01T00:00:00,2018-01-01T00:00:00,LaSalle Hotel Properties Agrees to Merge With Pebblebrook Hotel Trust,"LaSalle Hotel Properties has agreed to merge with Pebblebrook Hotel Trust, ending a monthslong battle and a previous merger agreement with Blackstone Group LP. LaSalle also canceled a shareholder vote regarding the Blackstone agreement. This deal follows Pebblebrook making six offers to LaSalle.",https://www.wsj.com/articles/lasalle-hotel-properties-agrees-to-merge-with-pebblebrook-hotel-trust-1536245480?gaa_at=eafs&gaa_n=AWEtsqd1oOAMheL7W51fiz2Gon0ezTlMUkIt1kMJUyz2AdqU4vym6c1-VYoz&gaa_ts=69081f7c&gaa_sig=sQZn2OEwMFeKVobW6d68eKtNEuAJcYSoTkjT56Ruroxk8oKsm8JyNczSqZt2DtEIb8ynWPAKgbmmlouhhXAMNg%3D%3D,The Wall Street Journal,financial_markets,0.82,0.0,0.0,0.369,-0.163605,Somewhat-Bearish,negative,0.7393805980682373,-0.7393805980682373,0.369
725794b2c8f10398ff910d83,2018-01-01T00:00:00,2018-01-01T00:00:00,AXA Equitable Flops in Largest IPO of the Year,"The largest initial public offering of the year by AXA Equitable Holdings Inc. received a weak reception, with shares trading far below earlier expectations. The company's shares rose 1.7% to $20.34 after pricing at $20, significantly lower than the projected range of $24 to $27. This performance suggests that recent strength in the new-issue market is largely confined to the technology sector.",https://www.wsj.com/articles/axa-equitable-flops-in-largest-ipo-of-the-year-1525984876?gaa_at=eafs&gaa_n=AWEtsqfInZH2N-im7O44oi8nUXHBXIRJ0ptMNdg-eqboOiq0wGUMf9rNbwMO&gaa_ts=690813d2&gaa_sig=GnaZghw5_PRKXWSPRJHVqo09w0CB1_f4oBg74PcGHXBMv-79WVJqa3LXLQCiu0GR8T15rq43G-z_XlbtTKDNHQ%3D%3D,The Wall Street Journal,financial_markets,0.82,0.0,0.0,0.369,-0.382548,Bearish,negative,0.86256343126297,-0.86256343126297,0.369
897113b10df1d581ebe57bd7,2018-01-01T00:00:00,2018-01-01T00:00:00,"Dollar-Store Chains Dented by Cool Weather, Rising Costs","Dollar General Corp. and Dollar Tree Inc. reported weaker-than-expected sales growth, citing cool weather and rising freight and wage costs. Dollar General's sales at stores opened at least a year rose 2.1%, below the anticipated 3%, while Dollar Tree's same-store sales grew 1.4%, missing estimates of 2.3%. These results led to a sharp decline in both companies' stock prices.",https://www.wsj.com/articles/dollar-store-chains-dented-by-cool-weather-rising-costs-1527791343?gaa_at=eafs&gaa_n=AWEtsqeYP0IfCDvRV5YBLn2L68gcti_0WQ8FIapxcUoSsL_LXV7BTr4XlWi1&gaa_ts=6908129a&gaa_sig=u8ReGc-KpQYW6VekNCgioYxLDMiQqYW8lJgLlj2i-Na4xAMz4TBaLrZPTvaIhwUg-swFrVYVfRvS8p8ihEo_6A%3D%3D,The Wall Street Journal,financial_markets,0.82,0.0,0.0,0.369,-0.44902,Bearish,negative,0.971359372138977,-0.971359372138977,0.369
bb35f818725fa0867597fe5e,2018-01-01T00:00:00,2018-01-01T00:00:00,"Facebook, Google Aren’t Tech Stocks? What That Means for Investors","Index providers are reclassifying major tech companies like Facebook and Google from the S&P 500's tech sector into a new communications-services group, alongside media giants such as Netflix and Comcast. This change will force funds tracking these sectors to rebalance their portfolios by trading billions of dollars worth of shares. The reclassification signifies a significant shift in how these companies are categorized within the stock market.",https://www.wsj.com/articles/facebook-google-arent-tech-stocks-what-that-means-for-investors-1530461352?gaa_at=eafs&gaa_n=AWEtsqd15S5TLj-r4XfknbhNO_4A19xUxbYW697TmsA3b-oqjDfJQJds1hlM&gaa_ts=69082784&gaa_sig=yv8oD7MMI1QTZB8eos4GYqvx4sww63t1RO_UMQFx9zCZY3FfKv7QxZA_RLfUGTxu1Bqtp44qsxrVMYlG0jFv9Q%3D%3D,The Wall Street Journal,financial_markets,0.82,1.0,0.25,0.769,0.026229,Neutral,neutral,0.867035448551178,0.0,0.769
d4b9bca1cab4bc1819580ab2,2018-01-01T00:00:00,2018-01-01T00:00:00,AXA Equitable Flops in Largest IPO of the Year,"AXA Equitable's initial public offering, the largest of the year, debuted at a price significantly below expectations, indicating a weak reception from investors. Shares of the U.S. life-insurance and money-management arm of French insurer AXA SA rose modestly after pricing at $20, a stark contrast to its targeted range of $24 to $27. This poor performance suggests that recent strength in the new-issue market is largely concentrated in the technology sector.",https://www.wsj.com/articles/axa-equitable-flops-in-largest-ipo-of-the-year-1525984876?gaa_at=eafs&gaa_n=AWEtsqfDLCt06tRob1dJqjz7vvO6MDMH_hnbjPRj62APjYmM3YKlcIJUHU6x&gaa_ts=690813d2&gaa_sig=XOgjTPbYBQymQEbdA2rXGZ8kEmJl7TwKf0raEgMoTIRUymYhH-H61BWfuByLMkXff-kUtynX6IGtkidcg_0W_g%3D%3D,The Wall Street Journal,financial_markets,0.82,0.0,0.0,0.369,0.044195,Neutral,negative,0.961933434009552,-0.961933434009552,0.369
99b5926780b673284765fa3b,2018-01-01T00:00:00,2018-01-01T00:00:00,Bank of America Results Get Boost From Higher Rates,"Bank of America reported a 10% increase in its second-quarter profit due to rising interest rates. The bank's quarterly profit reached $5.27 billion, with earnings per share of 46 cents, surpassing analyst expectations of 43 cents. This performance follows Federal Reserve approval for an increased dividend and stock buybacks, leading to the bank's stock consistently trading above its book value.",https://www.wsj.com/articles/bank-of-america-results-beat-expectations-1500375040?gaa_at=eafs&gaa_n=AWEtsqfTNQKGY4xbOC21s2mhhnthvcRjFNYW4w67m9zo2U7gf2ytIOVn67KD&gaa_ts=69080dec&gaa_sig=IqhFe7rZIW9eIQUVrbz1FZpEDykwe6yvtyDSCmzxucLjiMlLjzuv5yrorma2uFuEMNHfgKOB1tCgx6SzR_G87A%3D%3D,The Wall Street Journal,economy_monetary,0.9,0.0,1.0,0.605,0.272668,Somewhat-Bullish,positive,0.9537022113800049,0.9537022113800049,0.605
c1cfc513d4e9ae582d03fb0f,2018-01-01T00:00:00,2018-01-01T00:00:00,Bank of America Earnings Hurt by Tax-Related Charge,"Bank of America's fourth-quarter profit fell by 48% due to a $2.9 billion charge related to the new U.S. tax law. Despite this one-time expense, the bank's underlying profit would have risen, and its 2017 profits, excluding the charge, matched its 2006 record. The article highlights that the bank considers its crisis-era issues to be in the past.",https://www.wsj.com/articles/bank-of-america-earnings-hurt-by-tax-related-charge-1516190296?gaa_at=eafs&gaa_n=AWEtsqe4Li6_IEUcWGHPs6PNAve9eh1aAwEaTJVJdzMgWXYoBxFwiI5gyIT0&gaa_ts=69080dee&gaa_sig=bOrmX4mQkI4gomCO-MVnqz3X6qgxWXGcsu2icpeOOj3uKjJX9MC5TdFiz5ccSZnNxB-1x-53mOTE5e86nklKbg%3D%3D,The Wall Street Journal,financial_markets,0.82,0.0,0.25,0.419,-0.223871,Somewhat-Bearish,negative,0.9692572951316833,-0.9692572951316833,0.419
0b7575ef3c82f1d1b6c43df3,2018-01-01T00:00:00,2018-01-01T00:00:00,Bank of Montreal Enjoys Record U.S. Results,"Bank of Montreal's Chicago-based BMO Harris unit reported record revenue and profits, significantly contributing to the bank's fiscal second-quarter earnings. The bank is considering potential deals to expand its U.S. presence and attract more retail and commercial customers. This success highlights BMO's strong performance in the U.S. market.",https://www.wsj.com/articles/bank-of-montreal-enjoys-record-u-s-results-1527713872?gaa_at=eafs&gaa_n=AWEtsqf7_PlfT6BbxpR48KFC-ZiaKQH3iyIkybsuZ6ewxGgCEGbKnWsdXfVW&gaa_ts=69081f4f&gaa_sig=xOEtNoANzteqaP09BBLHnXrDkn3Akr7zwSpkncW9rKGde5gmitmEZvPw1NlXlwvyKX8pmpEvEEXWi9UBZWVTtg%3D%3D,The Wall Street Journal,economy_macro,0.78,0.0,0.25,0.401,0.006778,Neutral,positive,0.9557580351829529,0.9557580351829529,0.401
dd6b2fabfbfc958a5d763f38,2018-01-01T00:00:00,2018-01-01T00:00:00,Bank of America Earnings Hurt by Tax-Related Charge,"Bank of America reported a 48% drop in quarterly profit due to a $2.9 billion charge related to the new U.S. tax law. Despite this, the bank's 2017 profits, excluding the one-time expense, matched its 2006 record. Analysts had expected lower earnings on an adjusted basis, but the bank would have surpassed these expectations without the tax charge.",https://www.wsj.com/articles/bank-of-america-earnings-hurt-by-tax-related-charge-1516190296?gaa_at=eafs&gaa_n=AWEtsqfdQpOA7SryAV-ikWyodkwdtrDuxXn_mNDep5Q7HlXc_rbdJ70EbdbG&gaa_ts=69080dec&gaa_sig=cdfcyuufZ5CY2zHZ8MUo5jx4F8TjZEJFLpFxBY75eVluRnC6eXhn3EfiljEywxr2qT_gnBZUSPXY4xRmW0htNQ%3D%3D,The Wall Street Journal,financial_markets,0.82,0.0,0.25,0.419,-0.130776,Neutral,negative,0.9742375612258911,-0.9742375612258911,0.419
