feature,importance,rank
close_vs_ma_200,0.023296205,1
ext_us10y_level,0.02073531,2
ext_us2y_level,0.01833508,3
month,0.01824071,4
ext_fedfunds_level,0.01754869,5
volatility_60d,0.016632544,6
macd,0.016509984,7
news_count_log_60d,0.015908867,8
close_vs_ma_100,0.015859758,9
news_count_60d,0.015726699,10
ma_50_vs_200,0.01569759,11
ext_vix_level,0.015642295,12
news_count_log_45d,0.014558755,13
volatility_30d,0.013833114,14
close_vs_ma_50,0.013727694,15
volatility_45d,0.013685884,16
macd_signal,0.013568634,17
sentiment_negative_ratio_60d,0.013284281,18
ext_yield_curve_10y2y,0.013215395,19
return_30d,0.0131348055,20
sentiment_mean_60d,0.013100959,21
sentiment_negative_ratio_20d,0.013067509,22
news_count_45d,0.012993993,23
sentiment_positive_ratio_20d,0.012718623,24
sentiment_positive_ratio_60d,0.012584186,25
close_vs_ma_20,0.012456263,26
return_45d,0.012305029,27
close_vs_ma_5,0.012062402,28
sentiment_positive_ratio_30d,0.012005336,29
ext_sp500_return_5d,0.011654088,30
return_60d,0.011525967,31
close_vs_ma_30,0.01127464,32
sentiment_positive_ratio_15d,0.011229478,33
sentiment_negative_ratio_45d,0.011025451,34
close_vs_ma_10,0.011021808,35
sentiment_positive_ratio_10d,0.011020787,36
sentiment_negative_ratio_30d,0.010959134,37
sentiment_momentum_10_30,0.010805436,38
volatility_10d,0.010780327,39
sentiment_mean_20d,0.010638076,40
close_vs_ma_60,0.010608526,41
news_count_log_15d,0.010604858,42
volatility_15d,0.010235518,43
ma_20_vs_50,0.010226854,44
gap_return,0.010203661,45
sentiment_positive_ratio_45d,0.010149508,46
sentiment_momentum_20_60,0.010133308,47
sentiment_mean_30d,0.010116596,48
sentiment_mean_10d,0.009840655,49
macd_diff,0.009806213,50
sentiment_mean_15d,0.009709972,51
news_count_log_30d,0.009607997,52
return_10d,0.0095371725,53
volatility_20d,0.009397492,54
close_vs_ma_45,0.009379814,55
news_count_5d,0.009350563,56
bollinger_position,0.0093443245,57
sentiment_positive_ratio_5d,0.00917295,58
rsi_28,0.009147253,59
sentiment_negative_ratio_5d,0.009129414,60
ext_eurusd_return_1d,0.008975679,61
return_15d,0.008921373,62
sentiment_negative_ratio_15d,0.008814877,63
volatility_5d,0.008810892,64
news_count_10d,0.008713672,65
return_20d,0.008531965,66
news_count_30d,0.008512626,67
sentiment_momentum_5_20,0.008494529,68
rsi_14,0.008047567,69
volume_vs_ma20,0.00783251,70
sentiment_mean_45d,0.0077998666,71
news_count_20d,0.0077675027,72
ext_vix_change_1d,0.007767,73
sentiment_momentum_15_45,0.0077439337,74
return_5d,0.0076041166,75
sentiment_negative_ratio_10d,0.0074948785,76
ext_sp500_return_1d,0.007485672,77
return_3d,0.0073541617,78
news_count_log_5d,0.007287168,79
volume_change_1d,0.007082536,80
ext_nasdaq100_return_5d,0.006992193,81
news_count_15d,0.006920335,82
day_of_week,0.006815589,83
range_pct,0.0065835416,84
sentiment_mean_5d,0.0065757176,85
ext_vix_change_5d,0.0064600375,86
close_vs_ma_15,0.0063974,87
ext_us2y_change_1d,0.00631161,88
return_1d,0.005421169,89
ext_eurusd_return_5d,0.005394976,90
return_2d,0.005353817,91
ext_us10y_change_1d,0.0046640225,92
intraday_return,0.0045995736,93
ext_nasdaq100_return_1d,0.0041277125,94
sentiment_positive_ratio_1d,0.0033627655,95
news_count_1d,0.0029025394,96
news_count_log_1d,0.0,97
sentiment_available_5d,0.0,98
sentiment_available_1d,0.0,99
ext_fedfunds_change_5d,0.0,100
sentiment_mean_1d,0.0,101
sentiment_negative_ratio_1d,0.0,102
news_count_log_10d,0.0,103
sentiment_available_10d,0.0,104
sentiment_available_20d,0.0,105
sentiment_available_15d,0.0,106
sentiment_available_30d,0.0,107
news_count_log_20d,0.0,108
sentiment_available_45d,0.0,109
sentiment_available_60d,0.0,110
