feature,mean_abs_shap,importance_pct,rank
ma_50_vs_200,0.26519728,6.8372965,1
volatility_45d,0.21526136,5.549852,2
sentiment_momentum_15_45,0.20064755,5.17308,3
sentiment_mean_60d,0.17586693,4.534188,4
close_vs_ma_200,0.17484744,4.5079036,5
sentiment_positive_ratio_20d,0.1611493,4.154739,6
sentiment_mean_45d,0.13947126,3.5958376,7
ext_fedfunds_level,0.13882701,3.5792277,8
close_vs_ma_100,0.13023484,3.3577046,9
volatility_30d,0.1258814,3.2454648,10
ext_us2y_level,0.10961997,2.8262136,11
return_60d,0.10846227,2.796366,12
month,0.104185395,2.6861,13
macd_signal,0.10102435,2.6046023,14
macd_diff,0.09222262,2.3776767,15
sentiment_positive_ratio_60d,0.0900581,2.3218713,16
volatility_20d,0.08590952,2.214913,17
sentiment_momentum_10_30,0.070177525,1.8093116,18
sentiment_momentum_5_20,0.0699049,1.8022828,19
sentiment_momentum_20_60,0.06569224,1.6936723,20
sentiment_negative_ratio_30d,0.06456286,1.6645547,21
volatility_5d,0.05854093,1.5092978,22
sentiment_negative_ratio_60d,0.05753473,1.483356,23
ext_vix_level,0.04695175,1.2105064,24
return_1d,0.0458575,1.1822946,25
ma_20_vs_50,0.04299275,1.1084359,26
range_pct,0.042583562,1.0978862,27
macd,0.04192634,1.0809417,28
news_count_60d,0.038018584,0.98019224,29
ext_vix_change_1d,0.037597865,0.96934533,30
volatility_60d,0.036221635,0.9338634,31
close_vs_ma_60,0.034833238,0.89806795,32
ext_sp500_return_5d,0.03202737,0.8257273,33
volume_change_1d,0.03112741,0.80252457,34
sentiment_negative_ratio_15d,0.029092317,0.7500559,35
ext_yield_curve_10y2y,0.027653573,0.7129623,36
sentiment_mean_20d,0.027540602,0.7100497,37
ext_eurusd_return_1d,0.026014319,0.67069924,38
news_count_20d,0.023956655,0.61764866,39
return_2d,0.023903832,0.6162868,40
sentiment_mean_10d,0.023669265,0.6102392,41
volatility_10d,0.022948138,0.59164715,42
volatility_15d,0.020531699,0.5293467,43
ext_us10y_level,0.020433186,0.52680683,44
return_30d,0.019946128,0.51424956,45
close_vs_ma_50,0.01912936,0.4931917,46
rsi_14,0.018696927,0.48204273,47
return_45d,0.016255744,0.41910437,48
sentiment_positive_ratio_30d,0.014164856,0.36519724,49
return_10d,0.013815117,0.3561803,50
ext_sp500_return_1d,0.013176577,0.3397175,51
gap_return,0.012924083,0.33320773,52
return_5d,0.01289957,0.33257574,53
sentiment_positive_ratio_45d,0.0119825285,0.30893263,54
rsi_28,0.011878036,0.30623862,55
sentiment_negative_ratio_20d,0.011763273,0.30327982,56
sentiment_negative_ratio_45d,0.01125306,0.29012555,57
bollinger_position,0.010665129,0.27496755,58
ext_vix_change_5d,0.010550781,0.27201945,59
news_count_30d,0.010425591,0.2687918,60
sentiment_positive_ratio_10d,0.010076478,0.259791,61
ext_eurusd_return_5d,0.010040891,0.2588735,62
intraday_return,0.009834026,0.25354013,63
close_vs_ma_30,0.009689297,0.2498087,64
return_3d,0.009533961,0.24580388,65
return_20d,0.009390019,0.24209276,66
news_count_45d,0.008507953,0.2193514,67
news_count_log_30d,0.008160338,0.21038921,68
close_vs_ma_45,0.007897235,0.20360592,69
news_count_log_20d,0.0074665747,0.19250266,70
close_vs_ma_5,0.0068404516,0.17636001,71
sentiment_mean_30d,0.0066060596,0.17031693,72
close_vs_ma_20,0.0063390434,0.16343273,73
sentiment_mean_5d,0.0055184867,0.14227721,74
return_15d,0.005150126,0.13278015,75
volume_vs_ma20,0.004943919,0.12746374,76
sentiment_positive_ratio_15d,0.0047508427,0.12248587,77
news_count_log_60d,0.004639535,0.11961615,78
sentiment_mean_15d,0.0045555895,0.11745186,79
close_vs_ma_10,0.0043045585,0.110979795,80
ext_fedfunds_change_5d,0.0040574935,0.104609996,81
ext_nasdaq100_return_1d,0.003697201,0.095320955,82
ext_us10y_change_1d,0.0034339111,0.08853284,83
close_vs_ma_15,0.003271239,0.08433884,84
news_count_log_15d,0.0031363722,0.08086171,85
ext_nasdaq100_return_5d,0.0026120518,0.06734372,86
sentiment_negative_ratio_10d,0.0023236885,0.059909157,87
sentiment_available_60d,0.0022665279,0.05843545,88
news_count_log_45d,0.002224943,0.057363313,89
news_count_15d,0.0015049163,0.03879964,90
news_count_log_10d,0.0011530801,0.029728625,91
sentiment_positive_ratio_5d,0.0011361953,0.029293299,92
news_count_1d,0.0011161276,0.028775917,93
news_count_10d,0.0008921518,0.02300139,94
ext_us2y_change_1d,0.0006514148,0.016794728,95
news_count_5d,0.00027599809,0.0071157613,96
day_of_week,0.0,0.0,97
sentiment_available_10d,0.0,0.0,98
news_count_log_1d,0.0,0.0,99
sentiment_available_5d,0.0,0.0,100
sentiment_positive_ratio_1d,0.0,0.0,101
sentiment_negative_ratio_1d,0.0,0.0,102
sentiment_mean_1d,0.0,0.0,103
sentiment_negative_ratio_5d,0.0,0.0,104
news_count_log_5d,0.0,0.0,105
sentiment_available_1d,0.0,0.0,106
sentiment_available_30d,0.0,0.0,107
sentiment_available_20d,0.0,0.0,108
sentiment_available_15d,0.0,0.0,109
sentiment_available_45d,0.0,0.0,110
