feature,mean_abs_shap,importance_pct,rank
ext_fedfunds_level,0.3867114,10.462231,1
ma_50_vs_200,0.26226974,7.095541,2
sentiment_positive_ratio_30d,0.15609777,4.223126,3
volatility_30d,0.14223152,3.8479834,4
return_60d,0.13831171,3.7419353,5
sentiment_momentum_20_60,0.13242152,3.58258,6
macd_signal,0.13222206,3.5771835,7
volatility_45d,0.11410469,3.0870297,8
close_vs_ma_100,0.093639374,2.5333536,9
sentiment_positive_ratio_20d,0.089109585,2.410803,10
sentiment_mean_60d,0.083402224,2.2563941,11
macd_diff,0.08027888,2.171894,12
sentiment_negative_ratio_20d,0.07749926,2.0966933,13
ext_us10y_level,0.07098669,1.9204997,14
close_vs_ma_200,0.067006305,1.8128129,15
volume_vs_ma20,0.06559656,1.7746732,16
sentiment_momentum_10_30,0.060595732,1.639379,17
sentiment_mean_20d,0.059459765,1.6086462,18
sentiment_positive_ratio_60d,0.058239803,1.5756408,19
ext_eurusd_return_5d,0.056421626,1.5264512,20
news_count_30d,0.055772208,1.5088816,21
ext_vix_level,0.054653067,1.478604,22
close_vs_ma_60,0.054257754,1.467909,23
rsi_14,0.05231912,1.4154606,24
return_45d,0.049002547,1.3257327,25
close_vs_ma_5,0.045761827,1.2380571,26
sentiment_mean_45d,0.04403339,1.1912953,27
macd,0.042823624,1.1585659,28
ext_yield_curve_10y2y,0.042394854,1.1469657,29
sentiment_momentum_5_20,0.041248646,1.1159558,30
sentiment_momentum_15_45,0.040426407,1.0937107,31
volatility_15d,0.039586067,1.0709759,32
sentiment_mean_30d,0.038914107,1.0527964,33
ext_us2y_level,0.034801576,0.9415345,34
month,0.03471711,0.9392493,35
ma_20_vs_50,0.03142365,0.8501469,36
sentiment_negative_ratio_30d,0.030137021,0.8153379,37
ext_nasdaq100_return_5d,0.028658668,0.775342,38
intraday_return,0.025073789,0.6783554,39
return_1d,0.024359092,0.6590197,40
ext_vix_change_5d,0.024066664,0.65110826,41
news_count_60d,0.023556244,0.6372992,42
close_vs_ma_20,0.022090541,0.5976455,43
range_pct,0.021712756,0.58742476,44
volatility_10d,0.020775381,0.5620647,45
volatility_20d,0.019575285,0.52959687,46
return_30d,0.019343972,0.52333885,47
close_vs_ma_50,0.018588383,0.50289685,48
return_3d,0.01833359,0.4960036,49
ext_sp500_return_5d,0.017952584,0.48569572,50
sentiment_mean_10d,0.01786742,0.48339167,51
return_15d,0.017021475,0.46050522,52
sentiment_positive_ratio_15d,0.016389523,0.44340813,53
news_count_20d,0.015637608,0.4230655,54
ext_vix_change_1d,0.015521265,0.41991794,55
volatility_5d,0.0152620915,0.4129062,56
rsi_28,0.014457181,0.39112982,57
sentiment_negative_ratio_15d,0.014219778,0.38470703,58
news_count_log_30d,0.013084315,0.3539878,59
sentiment_mean_15d,0.011937407,0.32295895,60
close_vs_ma_15,0.011925118,0.32262647,61
volatility_60d,0.011763997,0.31826746,62
news_count_15d,0.011139402,0.30136943,63
return_20d,0.011114456,0.30069453,64
volume_change_1d,0.01108757,0.29996714,65
news_count_45d,0.010747362,0.29076302,66
return_5d,0.010497383,0.284,67
sentiment_negative_ratio_10d,0.009693605,0.26225433,68
close_vs_ma_10,0.0077179177,0.20880336,69
gap_return,0.0076190894,0.20612963,70
return_10d,0.007067067,0.19119501,71
close_vs_ma_30,0.006695308,0.1811373,72
return_2d,0.0066887997,0.18096122,73
close_vs_ma_45,0.00663495,0.17950436,74
ext_us2y_change_1d,0.0063775345,0.17254014,75
ext_fedfunds_change_5d,0.005477118,0.14817995,76
sentiment_negative_ratio_45d,0.00504273,0.13642785,77
bollinger_position,0.0046163485,0.12489237,78
ext_nasdaq100_return_1d,0.0045702145,0.12364425,79
news_count_log_45d,0.004533251,0.122644216,80
sentiment_positive_ratio_10d,0.004510938,0.122040555,81
sentiment_positive_ratio_5d,0.004425659,0.11973338,82
news_count_log_20d,0.0036821058,0.099617034,83
sentiment_negative_ratio_60d,0.0034171527,0.09244889,84
sentiment_positive_ratio_45d,0.003281304,0.088773586,85
ext_eurusd_return_1d,0.0030788842,0.08329725,86
news_count_log_15d,0.0026768185,0.07241962,87
news_count_log_60d,0.0025650219,0.069395036,88
ext_us10y_change_1d,0.002286186,0.061851308,89
sentiment_negative_ratio_1d,0.0018884512,0.051090844,90
sentiment_positive_ratio_1d,0.0016926182,0.04579271,91
ext_sp500_return_1d,0.0014713441,0.03980628,92
sentiment_mean_1d,0.0010269512,0.027783511,93
day_of_week,0.0009647554,0.026100844,94
news_count_10d,0.00095906795,0.025946973,95
news_count_log_10d,0.0007556365,0.020443264,96
sentiment_available_15d,0.00066413055,0.01796763,97
sentiment_mean_5d,0.00064387487,0.017419625,98
sentiment_available_20d,0.0004815948,0.013029241,99
sentiment_negative_ratio_5d,0.0004156376,0.01124481,100
news_count_1d,0.0,0.0,101
sentiment_available_5d,0.0,0.0,102
sentiment_available_10d,0.0,0.0,103
news_count_5d,0.0,0.0,104
news_count_log_5d,0.0,0.0,105
sentiment_available_1d,0.0,0.0,106
news_count_log_1d,0.0,0.0,107
sentiment_available_30d,0.0,0.0,108
sentiment_available_45d,0.0,0.0,109
sentiment_available_60d,0.0,0.0,110
