article_id,published_at,date,title,link,source,query,label,confidence,sentiment_score
21a92230f4ab917a8f5c8d06,2026-07-20 07:00:00,2026-07-20,NVIDIA NVLink: The Scale-Up Network for AI Factories | NVIDIA Technical Blog - NVIDIA Developer,https://news.google.com/rss/articles/CBMijwFBVV95cUxPZnY2TGZfZ0R1ZWhudEFkblFtR05sdVYzTGFCVFFOd0Q4T3VlbXQtTUZWNUozcHRrcElUa1VXdU5zVEt0OXE1Z3lQdXBRWXF3dHUxZ3N4U0dPek9tNS0zVDc1T05nUW5JcmhIYUJFVGZ0NnM0SWw3VXd6MjVkS1FxWjFkdDB5S3MzSHVlUFJkQQ?oc=5,NVIDIA Developer,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.9223175048828124,0.0
98847092a158a17df8ca16c9,2026-07-20 07:00:00,2026-07-20,"At SIGGRAPH, NVIDIA Advances Graphics and Simulation With Agentic and Physical AI - NVIDIA Blog",https://news.google.com/rss/articles/CBMiXkFVX3lxTFB5OFAwb0RQNlFtQ3RCY0Q1ZFlNQjhnZnNGUTVJU2lxdWtpY083SmQzM1E5eTE3YWVmRnNtMnlWN1ZkREx5b1U2T3BBYTRTVmVIVnpwaGxnWXlhOXJCMUE?oc=5,NVIDIA Blog,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.8522839546203613,0.0
f773effff772d310062aef21,2026-07-20 07:00:00,2026-07-20,"NVIDIA Agent Toolkit Expands With New Omniverse Libraries, Putting AI Agents to Work Building Simulation-Ready Worlds - NVIDIA Newsroom",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPeGJaWm00VkNmUFlfYzRnUWRyeHlOMTRjY2NkYVh6VHJ1eURJTjU2VXdyQ0Z3TmtqRGZ2OFVPU2hkdEVxRFVmRHNVZ1RqT3J2bDNQVDJNQmFLblVJTU0yV0tfTENNOWtubUF0WWdYUEhzeGRQaUJ6MlZWeU1oZjJRN2g2STBnZDJOdGRwZ2pKSTV3S1JQZndFY3lncEJ5eTZBSkE3VnNsNkdHTVFjNnczZkV6MEIzb25uYzVhY1lINk4yeVRuLVNWVE4xSUM2NE81eUV0UEpmMDlBOElYTl9jNHY0b1VKZw?oc=5,NVIDIA Newsroom,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",positive,0.5127087831497192,0.5127087831497192
a2064a2dfa34c31af6e7364c,2026-07-20 07:00:00,2026-07-20,Microsoft expands Azure AI and HPC infrastructure with AMD - The Official Microsoft Blog,https://news.google.com/rss/articles/CBMipgFBVV95cUxPbG5XdmVxY090czBnTEhIVU54OFVFeUQ5SmxhVDdka3NBb0tEMzRHNjllRDdwdUJ4OUdndzBlMkotWW4yc2paTU9qWDVsTndIRVU3NnBlRG0wVnB3cWpOR21rd2JKY1hCWGxQSl9fM1hLcHVHTE1UcDVEZV9rT01hVTI0MWxWTVdyTy1ISjFKOFZydVZtVnYtSHlGVlRHM3h0VmRPUkFn?oc=5,The Official Microsoft Blog,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.5024280548095703,0.0
c44f885ccf0cfedb80a03a72,2026-07-20 07:00:00,2026-07-20,Bristol Myers Squibb Building Life Science Industry’s Most Advanced AI Factory on NVIDIA Vera Rubin - NVIDIA Blog,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNdV92ZjdHMGtWVkQ5eEVLZFFwYmpsaXQzUzVwTnM2dW5RV3NYcmIwMVNoN0dIUXhlY3pwU3hVcWxtcy1VVjh3QjZSOHdIQlA5Z1ZBNnlaQWV5UFRwaFpxN2VZOHJBd1MtMmRqSndtVDFGdEZQeVJHaUJldnl4WVFTdm9UaGhka3d3dEpZbGtubzV1c0NMZmtRendyVno3N0NqSmc0bE0xYmdpMW9JaUVTc1J6ckZnZ1hKZ1dYLXNYLUlqc0J4TVgybw?oc=5,NVIDIA Blog,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.7106414437294006,0.0
303f5ff27664d5bc04216692,2026-07-21 07:00:00,2026-07-21,Inside NVIDIA Rubin GPU Architecture: Powering the Era of Agentic AI | NVIDIA Technical Blog - NVIDIA Developer,https://news.google.com/rss/articles/CBMipAFBVV95cUxOSkJ3ZzhTLXhVZ0JhWGxSdGpsS0h0S0ItTmNKV1hCa0UyYkNXZm1pZ2dTaHNWeEdfWXpyV1ZxNzBOTnIyQXlWcFFkZFRpMFRUaFlFRmpMcjdqSC11TE1qdXFqbV9TSWQtQ0owNEp3SXA5ZU5GV25rUGxwNm9TZ1lTTy1HOEVxemFaY0gybjhYU01YRzUtSlV6Y0UyT0laT0FGTTczaA?oc=5,NVIDIA Developer,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.9125396013259888,0.0
76e53bdd3d836212b9523256,2026-07-21 07:00:00,2026-07-21,Built in Fort Worth: Wistron Opens Advanced Manufacturing Plant to Produce NVIDIA AI Systems - NVIDIA Blog,https://news.google.com/rss/articles/CBMiakFVX3lxTE16azBpd2hXNW9ITlJsbWJxTGRHVUVXVm1WU2IzUk1vaFp4VFVSeHp1NWxYUzB4UlRzQ19nMkVYaGFuc19uZU52TkFZT2RyUG5pc25hbVFOa1lsZm9DVWpnQWI3Mk9jV2xkeGc?oc=5,NVIDIA Blog,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.7109977006912231,0.0
0414b0c4f3e2b0cea961d4f9,2026-07-21 07:00:00,2026-07-21,Setting a World Record for MoE Pre-Training on NVIDIA GB300 NVL72 | NVIDIA Technical Blog - NVIDIA Developer,https://news.google.com/rss/articles/CBMiogFBVV95cUxQZktMaU42Q2ZfSG5faFlBVXh3S3h4S216N0NibnFaTUc2RmsyU05MMmtfYjYtXzFjZGc3V2pOakJGVjgtZE95YnRXNzlVQm1RUE95VkF6UEJTUHpXRktVUHhSZWNBeUtSWVZlY0pjVnZ0Qm4yUlBXM2xzd2dLaFllMFJqNlVISmxVajVXWlpQMGNJdjBxOGU1SWNreFAtOUpUWEE?oc=5,NVIDIA Developer,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",neutral,0.8729250431060791,0.0
874b7b3d686ccfb766fcdd5e,2026-07-21 07:00:00,2026-07-21,"NVIDIA Vera Rubin Driving Performance Per Watt, Lowest Token Cost for Partners Worldwide - NVIDIA Blog",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5odmdhWHF4alVmWF90RlBMMnEwVF8xVHBUZ2ZqakFXSE80S3hUaVJXNEtfME9tMXh2MThWVVJuMmRCYnpXSWJta1BqYWxvb2FwZURZ?oc=5,NVIDIA Blog,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",positive,0.7107802629470825,0.7107802629470825
42ab8aa70feb99323215c797,2026-07-21 07:00:00,2026-07-21,Microsoft and Mistral expand strategic partnership to give enterprises and regulated industries frontier AI they can control - Microsoft Source,https://news.google.com/rss/articles/CBMi_wFBVV95cUxOYXY2QVMzcXpqZGY5T3NmRl9BX3FQdWkybktodjNVQWxxTTFFSjhfcHFWdUVNRVlRUkNlWFNFT1hUa2pIQks0ek9DNGp5WFJ3VXROeVZDS1BMU3JGd0JNc3U3LTBJcUNIRHBELUM1UFBGcHdRWGNxdkJJbnU2bk5ZUFlLODFaY2xNaDhrMDFxUy02S3dCWFhtb2VxazZVdERlN3lDX1l6ZjdfVkwtUXM2N0JaaWQ4cGRtbkNWRXVqUEJEdS1WbVRBalZVeWZLLUVMZms2am5mdDBDYnJoNThMUTZwbWUyUUdMRUhMM0tPNUIzN3pXc2s2eTNZWWtjeDA?oc=5,Microsoft Source,"(""Nasdaq 100"" OR ""technology stocks"" OR semiconductors OR Nvidia OR Microsoft OR Apple) when:30d",positive,0.7817883491516113,0.7817883491516113
